change,変える
learn,学ぶ
help,手伝う，助ける
need,必要とする
live,住んでいる
ask,頼む
enjoy,楽しむ
wait,待つ
cook,調理する
talk,話す (t-)
speak,話す (s-)
meet,会う
mean,意味する
buy,買う
travel,旅行する
build,建てる
close,閉じる
stay,滞在する
move,動かす
plan,計画する
write,書く
listen,聞く (l-)
happen,起こる，生じる
lose,失う，なくす
stand,立つ，立っている
grow,育つ
sound,〜のように聞こえる
rain,雨が降る
worry,心配する
teach,教える
hope,望む
hold,持つ，抱える
life,一生，生涯
thing,事
country,国
example,例
place,場所
part,部分
trip,旅行
problem,問題
question,質問
color,色
point,要点
language,言語
word,単語，語
health,健康
report,報告書
minute,分
reason,理由
line,路線
month,（暦の）月
week,週
date,日にち
event,行事
future,未来，将来
design,デザイン
end,終わり
computer,コンピューター
plant,植物
art,美術
chance,機会，好機
history,歴史
festival,祭り
season,季節
fun,楽しみ
host,主人
message,伝言
step,段階
popular,人気のある
most,大部分の
different,違う
such,そのような
last,この前の
same,同じ
great,すばらしい (g-)
open,開いている
own,自分自身の
kind,親切な
difficult,難しい
enough,十分な
special,特別な
famous,有名な
bad,悪い
short,短い
useful,役に立つ
afraid,恐れて
favorite,お気に入りの
expensive,高価な
carry,運ぶ
break,壊れる，割れる
arrive,到着する
fall,落ちる
miss,がいなくてさみしく思う
cover,覆う
catch,捕まえる
save,救う
check,点検する
introduce,紹介する
join,加わる
clean,きれいにする
answer,答える
throw,投げる
invite,招待する
pick,摘み取る
die,死ぬ
return,戻る
fly,飛ぶ
cut,切る
hit,襲う，打つ
excuse,許す
wash,洗う
cry,叫ぶ
borrow,借りる
kill,殺す
push,押す
climb,登る
laugh,笑う
smile,ほほえむ
hurry,急ぐ
cheer,元気づける
volunteer,ボランティア
side,側
front,前，正面
concert,コンサート
fire,火事
village,村
lesson,レッスン
light,明かり
Internet,インターネット
weather,天気
voice,声
piece,１つ，１枚
goal,目標
speech,スピーチ
fan,ファン
dream,夢
mistake,間違い
meter,メートル
land,土地
hundred,百
thousand,千
million,百万
medicine,薬
uniform,制服
heat,暑さ
evening,夕方
noon,正午
holiday,休日，祝日
course,講座
rule,ルール
forest,森林
farm,農場
treasure,大切な物
hole,穴
cloud,雲
phone,電話
sorry,すまなく思って
careful,注意深い
wonderful,すばらしい (w-)
heavy,重い
sick,病気の
dear,親愛なる
glad,うれしい
dark,暗い
sad,悲しい
cute,かわいい
free,暇な
foreign,外国の
low,低い
safe,安全な
angry,怒った
lucky,幸運な
bright,輝いて
soft,柔らかい
loud,（音が）大きい
even,〜でさえ
back,戻って
still,まだ，なお
early,早く
soon,すぐに，まもなく
away,離れて
almost,ほとんど，ほぼ
together,一緒に
maybe,もしかすると
once,１度
else,ほかに
ago,〜前に
straight,まっすぐに
slowly,ゆっくりと
suddenly,突然，急に
until,…するまで
since,…したときから
