create,を創り出す
increase,増加する
improve,を向上させる
mean,を意味する
own,を所有している
include,を含む
consider,を見なす
allow,を許す
suggest,を提案する
produce,を生産する
decide,を決める
offer,を提供する，申し出る
require,を要求する
share,を共有する
store,を保存する
tend,傾向がある
concern,〔受身形で〕心配している
describe,について述べる，を説明する
involve,を関与させる
reduce,を減らす
design,を設計する
force,に強いる
limit,を制限［規制］する
bear,に耐える
affect,に影響を及ぼす
deal,〔＋withで〕を処理する
avoid,を避ける
relate,を関連づける
realize,に気づく
encourage,を奨励する
compare,を比較する
measure,を測る
exist,存在する
mark,に印をつける
challenge,に異議を唱える
depend,頼る
object,反対する
demand,を要求する
found,を設立する
complete,を完成させる，仕上げる
idea,考え，思いつき
accord,一致
company,会社
interest,興味
research,(～についての)研究，調査(into / on / in)
cause,原因
reason,理由
effect,影響，効果
influence,影響(力)
situation,状況
environment,環境
skill,技能
matter,事柄
view,(～についての)見解(on / about)
value,価値
species,(生物の)種
thought,考え
knowledge,知識
memory,記憶(力)
practice,実践，実行
benefit,利益，恩恵
theory,学説
issue,問題(点)
experiment,(～を対象とする)実験(on)
article,記事
focus,焦点
subject,話題
project,計画
quality,質
role,役割
term,(専門)用語
statement,声明
material,材料，素材
evidence,証拠
source,(～の)源，根源(of)
community,(共同)社会，～界
technology,科学技術
culture,文化
appropriate,(～に)適切な(for / to)
likely,ありそうな
possible,可能な
individual,個々の
public,公の
common,共通の
certain,確信して
similar,似ている，類似した
recent,最近の
major,主要な
patient,忍耐強い
particular,特定の
physical,身体の
various,さまざまな
available,手に入る
native,出生地の
political,政治(上)の
due,予定された
blank,空白の
ancient,古代の
correct,正しい
despite,～にもかかわらず
notice,に気づく
refer,言及する，関連する
approach,に近づく
wonder,かなと思う
imagine,(を)想像する
recognize,を識別できる
solve,を解く，解明する
occur,起こる
argue,と主張する
claim,と主張する
express,を表す，述べる
draw,を引き出す
waste,を浪費する，無駄にする
advance,を進歩させる
spread,を広める
prepare,を準備する
gain,を獲得する
achieve,を達成する
establish,を確立する
supply,を供給する
suppose,と思う
perform,(を)行う
prefer,のほうを好む
determine,を決定する
treat,を扱う
prove,を証明する
apply,を適用［応用］する
mention,に言及する
communicate,(～と)情報交換をする(with)
contain,を含む
contact,と連絡を取る
regard,を見なす
respect,を尊敬する
search,捜す
connect,をつなぐ
decline,減少する
prevent,を妨げる
suffer,苦しむ
survive,を切り抜けて生き残る
publish,を出版する
opportunity,機会
task,(課せられた)仕事，作業
industry,産業
medium,(情報伝達の)媒体
economy,経済(状態)
policy,政策，方針
account,説明
trade,貿易
model,模範
figure,数字
cell,細胞
image,印象，イメージ
emotion,感情，情動
stress,ストレス
decade,10年間
range,範囲
character,性格，個性
advantage,利点
phrase,句
damage,損害，損傷
impact,影響
method,方法
resource,〔通例～s〕資源
region,地域
medicine,薬
detail,〔～s〕詳細(な情報)，細部
feature,特徴
function,機能
access,利用，入手
item,品目，項目
income,収入
attitude,態度
site,用地，場所
aspect,(物事の)側面
structure,構造
habit,習慣，癖
link,関連，つながり
instance,(具体的な)例，実例
positive,肯定的な
negative,否定的な
complex,複雑な
current,現在の
mental,精神の
specific,特定の
significant,重要な，重大な
essential,(～に)必要不可欠な(to / for)
official,公用の
financial,財政(上)の
academic,学問の
aware,気づいて，知って
worth,(…する)に値する(doing)
potential,潜在的な
active,積極的な
digital,デジタル方式の
mobile,可動［移動］式の
novel,斬新な，目新しい
plastic,柔軟な
chemical,化学の，化学的な
necessary,必要な
eventually,結局(は)
identify,を特定する
represent,を表す
indicate,を指し示す
manage,をなんとか成し遂げる
attend,に出席する
maintain,を維持する
survey,を調査する
replace,に取って代わる
sort,を(～に)分類する(into)
conduct,(調査・実験など)を実施する
associate,を結び付けて考える
attempt,を試みる，企てる
promote,を促進する
earn,を稼ぐ
unite,を団結させる
feed,に食べ物［乳］を与える
seek,を追い求める
observe,に気づく
reveal,を明らかにする
estimate,と推定する
reflect,を反映する
attract,を引きつける
decrease,減少する
ignore,を無視する
match,(と)合う
define,を定義する
adapt,適応する
contribute,貢献する，一因となる
exchange,(を)交換する
display,を示す
respond,反応する
hide,を隠す
doubt,ではないと思う
remove,を取り除く
wind,(ねじなど)を巻く
assume,を当然のことと思う，と仮定する
relax,くつろぐ
satisfy,を満足させる
desire,を強く望む
succeed,(～に)成功する(in)
concept,概念
fashion,流行，ファッション
device,装置，機器
charge,料金
contrast,(～との)対照(with / to)
colleague,(職場の)同僚
pain,苦痛，痛み
bill,請求書
content,内容，中身
section,部門
audience,〔集合的に〕聴衆，観客
surface,表面
crop,〔しばしば～s〕作物
topic,話題，トピック
technique,技術
status,地位
option,選択(の自由)
reward,報酬
race,人種
crime,罪，犯罪
conflict,争い
struggle,闘い
context,状況，背景
debate,討論，論争
fuel,燃料
pollution,汚染，公害
trend,(～への)傾向(toward)
balance,均衡，バランス
traffic,交通
strategy,戦略
basis,基礎
consequence,〔通例～s〕結果
aim,目的，目標
ancestor,祖先
gene,遺伝子
track,跡
revolution,革命
progress,進歩
cognitive,認知の
ideal,理想的な
efficient,効率的な
universal,普遍的な
vast,莫大な
extra,追加の，余分の
entire,全体の，全部の
familiar,精通している
obvious,明らかな
moral,道徳(上)の，倫理的な
ordinary,一般の，普通の
equal,(～に)等しい(to)
previous,以前の，前の
FALSE,間違った
rare,まれな，珍しい
legal,法律の
independent,(～から)独立した(of / from)
extreme,極端な
actual,実際の，現実の
willing,いとわない，かまわないと思う
urban,都市の
whereas,～するのに(対し)，～する一方
predict,を予言［予測］する
examine,を調べる
trust,を信頼する
stick,を動けなくする
emerge,現れる
vary,さまざまである
release,を放出する
divide,を分ける
enable,(人)が…できるようにする
judge,(を)判断する
rely,頼る
engage,を従事させる
shift,を変える，移す
adopt,を採用する
acquire,を得る
expand,(を)拡大する
